ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.313Z,344.5,344.5,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.313Z,202.7,60.9,0.00,-48.5,0.00,0.00
2026-02-05T06:00:00.313Z,184.6,148.5,0.08,-48.5,0.20,0.00
2026-02-05T06:00:00.313Z,197.7,236.8,0.00,-48.4,0.00,0.00
2026-02-05T06:00:00.313Z,220.9,313.7,0.10,-48.4,0.25,0.00
2026-02-05T06:00:00.314Z,198.0,230.1,0.00,-48.4,0.00,0.00
2026-02-05T06:00:00.314Z,249.5,318.5,0.10,-48.4,0.25,0.00
2026-02-05T06:00:00.314Z,229.3,47.4,0.10,-48.3,0.25,0.00
2026-02-05T06:00:00.314Z,248.8,334.3,0.10,-48.3,0.25,0.00
2026-02-05T06:00:00.314Z,198.3,61.3,0.00,-48.4,0.00,0.00
2026-02-05T06:00:00.315Z,172.2,99.5,0.08,-48.4,0.19,0.00
2026-02-05T06:00:00.315Z,129.9,107.1,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.315Z,156.6,180.9,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.315Z,142.9,265.7,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.316Z,198.3,338.4,0.16,-44.1,0.39,0.01
2026-02-05T06:00:00.316Z,229.7,256.4,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.316Z,277.6,346.7,0.16,-44.1,0.39,0.01
2026-02-05T06:00:00.316Z,257.0,78.0,0.16,-44.1,0.39,0.01
2026-02-05T06:00:00.316Z,235.5,158.1,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.317Z,182.8,74.8,0.16,-44.1,0.39,0.01
2026-02-05T06:00:00.317Z,164.3,163.9,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.317Z,145.7,253.9,0.01,-44.1,0.02,0.01
2026-02-05T06:00:00.317Z,157.3,135.9,0.05,-45.5,0.13,0.01
2026-02-05T06:00:00.318Z,171.3,228.0,0.00,-46.3,0.00,0.00
2026-02-05T06:00:00.318Z,219.3,314.7,0.13,-46.3,0.31,0.00
2026-02-05T06:00:00.318Z,192.4,29.7,0.13,-46.3,0.31,0.00
2026-02-05T06:00:00.318Z,201.4,298.8,0.13,-46.3,0.31,0.00
2026-02-05T06:00:00.318Z,178.2,20.0,0.13,-46.3,0.31,0.00
2026-02-05T06:00:00.319Z,142.9,51.5,0.00,-46.3,0.00,0.00
2026-02-05T06:00:00.319Z,86.4,32.0,0.13,-46.3,0.31,0.00
2026-02-05T06:00:00.319Z,105.6,125.8,0.05,-46.3,0.13,0.00
2026-02-05T06:00:00.319Z,90.1,221.2,0.00,-46.3,0.00,0.00
2026-02-05T06:00:00.320Z,138.1,260.0,0.09,-52.1,0.22,0.00
2026-02-05T06:00:00.320Z,195.3,337.5,0.00,-51.2,0.00,0.00
2026-02-05T06:00:00.320Z,202.6,68.7,0.08,-51.2,0.19,0.00
2026-02-05T06:00:00.320Z,207.2,148.8,0.00,-51.2,0.00,0.00
2026-02-05T06:00:00.320Z,165.2,10.8,0.08,-51.2,0.19,0.00
2026-02-05T06:00:00.321Z,131.8,93.2,0.08,-51.1,0.19,0.00
2026-02-05T06:00:00.321Z,99.6,176.5,0.00,-51.1,0.00,0.00
2026-02-05T06:00:00.321Z,114.4,142.6,0.00,-51.2,0.00,0.00
2026-02-05T06:00:00.321Z,128.9,221.5,0.08,-51.2,0.21,0.00
2026-02-05T06:00:00.321Z,187.1,301.6,0.08,-51.2,0.21,0.00
2026-02-05T06:00:00.322Z,170.5,10.1,0.08,-51.2,0.19,0.00
2026-02-05T06:00:00.322Z,164.9,148.6,0.00,-40.8,0.00,0.01
2026-02-05T06:00:00.322Z,183.9,237.8,0.16,-41.9,0.40,0.01
2026-02-05T06:00:00.322Z,206.2,333.0,0.16,-41.9,0.40,0.01
2026-02-05T06:00:00.322Z,197.6,258.4,0.16,-41.9,0.40,0.01
2026-02-05T06:00:00.323Z,264.6,345.4,0.16,-41.9,0.40,0.01
2026-02-05T06:00:00.323Z,249.7,74.1,0.02,-41.9,0.04,0.01
2026-02-05T06:00:00.323Z,272.6,352.3,0.16,-41.9,0.40,0.01
2026-02-05T06:00:00.323Z,220.4,72.0,0.02,-41.9,0.04,0.01
2026-02-05T06:00:00.323Z,199.4,153.3,0.02,-41.9,0.04,0.01
2026-02-05T06:00:00.323Z,181.6,256.3,0.12,-56.0,0.30,0.00
2026-02-05T06:00:00.324Z,223.0,281.1,0.11,-54.6,0.28,0.00
2026-02-05T06:00:00.324Z,223.6,355.2,0.00,-54.6,0.00,0.00
2026-02-05T06:00:00.324Z,266.7,287.6,0.11,-54.6,0.28,0.00
2026-02-05T06:00:00.324Z,240.4,21.8,0.06,-54.6,0.15,0.00
2026-02-05T06:00:00.324Z,212.8,118.2,0.06,-54.6,0.15,0.00
2026-02-05T06:00:00.325Z,165.4,44.1,0.06,-54.6,0.15,0.00
2026-02-05T06:00:00.325Z,120.5,130.8,0.06,-54.6,0.15,0.00
2026-02-05T06:00:00.325Z,107.0,219.8,0.11,-54.6,0.28,0.00
2026-02-05T06:00:00.325Z,113.8,56.0,0.19,-43.5,0.47,0.01
2026-02-05T06:00:00.325Z,114.5,121.6,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.326Z,146.0,201.9,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.326Z,148.9,145.2,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.326Z,147.7,213.8,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.326Z,193.4,284.5,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.326Z,212.9,218.8,0.00,-42.7,0.00,0.01
2026-02-05T06:00:00.327Z,235.6,315.6,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.327Z,217.6,55.2,0.20,-42.7,0.50,0.01
2026-02-05T06:00:00.327Z,232.0,286.0,0.11,-48.3,0.28,0.00
2026-02-05T06:00:00.327Z,242.8,338.3,0.10,-47.4,0.24,0.00
